Sort,Latitude,Longitude,Sample Sites,Year,,High_Low,DateNote,Slope,WShedArea,DistanceUS,DATE,TIME,D'/W',Depth(ft),Width(ft),XC_Area,W/D,TEMP.,pH,COND.,DO,VEL.,TURB.,TSS,NH3,Hardness,Ca,Mg,Alk,CI,FI,S,Nate,Nite,OP,TP,As,Ba,Cr,Cd,Cu,Fe,Pb,Mn,Hg,Ni,Se,Ag,Na,Zn,E_Coli,Total_Coli,Fecal_Coli,BOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,43.12984444,101.7324167,Little White River II,1994,,H,,,,,5/24/94,12:00pm,"1'2""/13'",1.2,13,15.16666667,11.14285714,21.2,8.18,155,6.53,0.7,,,,,,,180,19,0.54,61,0.2,0,0.292,0.45,0,0.15,0,0,0,1.36,0,0.09,0,,,,43,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,43.12984444,101.7324167,Little White River II,1994,,L,,,,,,,,,,,,,,,,,,,,,,,114,14,0.39,31,0.21,0,0.335,0.341,0,0.12,0.008,,0,0.22,0,0.05,0.0007,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,43.12984444,101.7324167,Little White River II,1995,,H,,,,,5/24/95,11:36am,"1'9""/19'",1.9,19,36.41666667,9.913043478,14,8.35,125,,3.39,,,,,,,210,8,0.7,82,0,0,0.325,0.62,0.0119,0.156,0,,0,2.37,0,0.12,0.0003,,,,60,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,43.12984444,101.7324167,Little White River II,1995,,L,,,,,10/10/95,11:00am,"2'/23'8""",2.0,23.7,47.4,11.85,8.93,8.06,381,8.66,1.36,61.9,,,,,,114,7,0.36,41,0.33,0.01,0.357,0.375,0,0.13,0,,0,2.2,0,0.05,0,,,,33,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,43.12984444,101.7324167,Little White River II,1996,,H,,,,,,,,,,,,,,,,,,,,,,,210,6,0.5,47,0.36,0.03,0.41,0.41,0.01,0.164,0,,0,2.38,0,0.17,0.0002,,,,52,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,43.12984444,101.7324167,Little White River II,2000,,L,,,,,,,,,,,,,,,,,,,,,,,92,4,0.3,28,0.4,0,0.3,0.3,0,0.083,0,,0,1.39,0,0.05,0,,,,24,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,43.12984444,101.7324167,Little White River II,1997,,H,,,,,6/9/97,10:25am,"1'8""/20'2""",1.8,20.2,37.03333333,11.01818182,19.54,7.97,668,4.34,2,117,,,,,,235,5,0.48,87,0.4,0.4,0.55,0.72,0.012,0.2,0,0,0,3.7,0.005,0.24,0,0,,0,61,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,43.12984444,101.7324167,Little White River II,1997,,H,,,,,7/11/97,12:36pm,"2'4""/18'5""",2.3,18.5,43.16666667,7.928571429,21.95,8.42,495,3.41,0.3,31.4,,,,,,92,1,0.34,19,0.41,0.41,0.31,0.37,0.005,0.09,0,0.0025,0,1.1,0.006,0.06,0,0,,0,17,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,43.12984444,101.7324167,Little White River II,1998,,H,,,,,,,,,,,,,,,,,,,,,,,180,7.3,0.53,62,0.05,0.05,0.29,0.41,0.009,0.1,0,0,0,1.4,0,0.09,0,0,,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,43.12984444,101.7324167,Little White River II,1999,,H,,,,,8/12/99,12:30pm,"1'13""/20'2""",1.3,20.2,25.25,16.16,21.95,8.63,328,10.57,2.43,26.3,,,,,,122,9,0.5,38,0,0,0.33,0.43,0.008,0.08,0,0,0,1.14,0,0.08,0,0,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,43.12984444,101.7324167,Little White River II,2000,,H,,,,,,,,,,,,,,,,,,,,,,,266,9,0.6,88,0,0.1,0.31,0.33,0.011,0.1,0,0,0,2.6,0,0.14,0,0,0,0,67,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,43.12984444,101.7324167,Little White River II,2000,,L,,,,,,,,,,,,,,,,,,,,,,,82,2,0.3,24,0.88,0,0.3,0.3,0,0,0,0,0,0.49,0,0.02,0,0,0,0,13,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,43.176225,101.4946167,Little White River III,1993,,H,,,,,5/24/93,12:00pm,"1'2""/13'",1.2,13,15.16666667,11.14285714,21.2,8.18,155,6.53,0.7,,,,,,,164,4,0.45,41,0.26,0,0.435,0.708,0.011,0.189,0,0.012,0.01,4.7,0.005,0.15,0.0039,0.007,0,0,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,43.176225,101.4946167,Little White River III,1993,,L,,,,,12/1/93,11:20am,"1'7""/10'11""",1.6,10.9,17.25833333,6.884210526,1.9,7.99,192,12.38,1.32,36.8,,,,,,142,5,0.44,30,0.25,0,0.248,0.265,0,0.09,0,0.008,0,0.63,0,0.03,0,0,0.002,0.11,26,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,43.176225,101.4946167,Little White River III,1994,,H,,,,,5/24/94,3:00pm,"2'/12'5""",2.0,12.5,25,6.25,21.8,8.38,8,6.52,0.59,126.8,,,,,,190,13,0.52,56,0,0,0.229,0.31,0,0.18,0.006,,0.006,2.46,0,0.13,0,,,,39,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,43.176225,101.4946167,Little White River III,1994,,L,,,,,,,,,,,,,,,,,,,,,,,150,17,0.36,41,0.32,0,0.43,0.45,0.022,0.18,0.014,,0,0.45,0,0.13,0.0005,,,,25,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,43.176225,101.4946167,Little White River III,1995,,H,e,,,,5/12/95,,,,,,,,,,,,,,,,,,38,3,0.19,5,0,0,0.13,0.21,0,0,0,,0,0.17,0,0,0.0005,,,,4,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,43.176225,101.4946167,Little White River III,1995,,L,,,,,10/18/95,12:08pm,1'/21',1.0,21,21,21,9.62,8.28,508,8.36,1.86,12.1,,,,,,156,5,0.54,23,0.5,0,0.282,0.302,0.01,0.16,0,,0,4.1,0,0.13,0.0003,,,,25,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,43.176225,101.4946167,Little White River III,1996,,H,,,,,5/31/96,11:12am,"4'3""/29'3""",4.0,29.3,117.2,7.325,14.67,9.43,425,7,3,105.3,,,,,,150,5,0.5,35,2.4,0,0.38,0.45,0.007,0.176,0.005,,0.011,3.93,0.004,0.17,0,,,,35,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,43.176225,101.4946167,Little White River III,1996,,L,,,,,10/10/96,12:30pm,2'/---,2.0,,,,11.46,10.28,365,1.65,3.5,7,,,,,,130,3,0.4,25,0,0,0.44,0.46,0.009,0.203,0.01,,0.011,5.3,0.004,0.17,0,,,,83,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,43.176225,101.4946167,Little White River III,1997,,H,,,,,9/10/97,11:30am,"1'2""/18'",1.2,18,21,15.42857143,18.86,8.84,481,3.27,2.29,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,43.176225,101.4946167,Little White River III,2000,,L,,,,,,,,,,,,,,,,,,,,,,,124,3,0.4,29,0,0.6,0.31,0.32,0,0,0.04,0,0,0.98,0,0.05,0,0.03,0,0,17,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,43.57989444,101.3733222,Little White River IV,1993,,H,,,,,6/15/93,3:30pm,"2""/12'8""",0.0,,,,18.1,8.18,335,8.27,1.71,122.4,,,,,,164,4,0.63,39,0.35,0,0.487,0.512,0.013,0.204,0,0.015,0.01,6.2,0.005,0.21,0.002,0.007,0,0,32,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,43.57989444,101.3733222,Little White River IV,1993,,H,,,,,8/3/93,1:30pm,"8""/200'",0.0,,,,20.2,8.43,502,,,,,,,,,156,3,0.53,31,0.19,0,0.39,0.407,0.009,0.12,0,0.01,0.23,1.11,0,0.04,0.0028,0,0.003,0.05,27,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,43.57989444,101.3733222,Little White River IV,1994,,H,e,,,,5/24/94,,,,,,,,,,,,,,,,,,166,10,0.51,54,0.042,0,0.42,0.427,0.023,0.22,0.015,,0.006,7,0.007,0.23,0,,,,29,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,43.57989444,101.3733222,Little White River IV,1994,,H,,,,,8/24/94,10:20,1'/--,1.0,,,,19,8.9,300,7.69,1.36,,,,,,,162,12,0.6,24,0.38,0,0.5,0.559,0.031,0.21,0.022,,0.006,0.61,0,0.21,0.0004,,,,26,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,43.57989444,101.3733222,Little White River IV,1995,,H,e,,,,5/12/95,,,,,,,,,,,,,,,,,,20,7,0.66,58,0.18,0,0.36,0.445,0.01,0.1,0,,0,2.29,0,0.07,0.0005,,,,45,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,43.57989444,101.3733222,Little White River IV,1995,,L,,,,,10/17/95,1:27pm,1'/5',1.0,5,5,5,9.38,8.35,417,8.49,1.86,12.1,,,,,,144,5,0.4,27,0.32,0,0.315,0.321,0.009,0.09,0,,0,3.3,0,0.1,0.0004,,,,23,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,43.57989444,101.3733222,Little White River IV,1996,,H,,,,,6/12/96,121:23am,"1'8""/32'",1.7,32,53.33333333,19.2,22.79,9.86,476,10.5,7.4,65.2,,,,,,180,6,0.6,0.2,0,0.41,0.5,0.012,0.196,0.007,0,,<.005,0.005,0.005,0.18,0,,,,38,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,43.57989444,101.3733222,Little White River IV,1996,,L,,,,,11/4/96,1:00pm,"18""/33'",1.5,33,49.5,22,6.8,10.37,327,12.6,6.3,117.3,,,,,,120,3,0.4,16,0.6,0,0.44,0.46,0.009,0.203,0.01,,0.011,5.3,0.004,0.17,0.0005,,,,16,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,43.57989444,101.3733222,Little White River IV,1997,,H,,,,,6/17/97,2:20pm,"2'6""/26'",2.5,26,65,10.4,21.61,7.93,473,2.39,10.2,73.6,,,,,,194,2,0.5,43,0.36,0.36,0.47,0.54,0.012,0.2,0,0,0,2,0.006,0.14,0.001,0,,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,43.57989444,101.3733222,Little White River IV,1997,,L,,,,,10/21/97,1:47pm,"11""/--",0.9,,,,6.55,8.85,388,5.63,5.8,204,,,,,,154,0,0.53,22,1.05,1.05,0.57,0.8,0.01,0.22,0,0,0,5.4,0.008,0.29,0,0.03,,0,26,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,43.57989444,101.3733222,Little White River IV,2000,,H,,,,,,,,,,,,,,,,,,,,,,,208,5,0.5,56,0.06,0.27,0.7,0.77,0.015,0.2,0,0,0,6.9,0.006,0.28,0,0,0,0,41,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,43.57989444,101.3733222,Little White River IV,2000,,L,,,,,,,,,,,,,,,,,,,,,,,142,2,0.5,23,0,0.54,0.42,0.44,0.006,0,0,0,0,1.13,0,0.05,0,0,0,0,18,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,43.57989444,101.6129361,Long Creek I,1993,,H,,,,,6/14/93,10:15am,1'/3',1.0,3,3,3,14.5,7.75,385,6.3,0.73,0.23,,,,,,220,16,0.36,0,0.86,0.033,0.175,0.226,0.007,0.063,0,0,0,0.59,0,0.07,0.0031,0,0.004,0,85,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,43.57989444,101.6129361,Long Creek I,1993,,L,,,,,11/30/93,11:25am,1'/6',1.0,6,6,6,4.2,8.42,,12.56,0,5.66,,,,,,214,11,0.31,18,0.36,0,0.057,0.075,0,0,0,0.006,0,0.14,0,0,0,0,0.007,0.11,87,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,43.57989444,101.6129361,Long Creek I,1994,,H,e,,,,6/27/94,,,,,,,,,,,,,,,,,,224,25,0.33,25,0.76,0.03,0.185,0.208,0.007,0,0,,0,0.6,0,0.06,0,,,,75,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,43.57989444,101.6129361,Long Creek I,1994,,H,,,,,7/28/94,1:30pm,"13""/6'",1.1,6,6.5,5.538461538,16.9,8.11,130,8.59,,0,,,,,,270,24,0.29,10,1.1,0,0.081,0.129,0,0,0.025,,0,0.38,0,0.3,0,,,,80,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,43.57989444,101.6129361,Long Creek I,1995,,H,,,,,5/23/95,,"1'2""/5'11""",1.2,6.9,8.05,5.914285714,11.3,8.59,59.7,10.32,0.03,0.6,,,,,,230,21,0.31,30,1.1,0,0.145,0.36,0,0,0,,0,0.27,0,0.04,0.0002,,,,73,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,43.57989444,101.6129361,Long Creek I,1995,,L,,,,,10/24/95,12:18pm,1'/8',1.0,8,8,8,5.47,7.87,634,7.8,0.27,15.5,,,,,,214,31,0.21,30,1.65,0.012,0.126,0.135,0.007,0,0,,0,0.47,0,0.05,0,,,,71,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,43.57989444,101.6129361,Long Creek I,1996,,H,,,,,5/30/96,12:00pm,"10""/5'8""",0.8,5.8,4.833333333,6.96,12.62,8.18,682,8.19,0.9,13.7,,,,,,240,29,0.3,38,1.9,0.02,0.18,0.19,0.009,0.106,0.023,,0.01,0.46,0,0.03,0,,,,79,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,43.57989444,101.6129361,Long Creek I,1996,,L,,,,,10/2/96,2:19pm,"8""/5'2""",0.7,5.2,3.466666667,7.8,9.54,10,10.06,1.95,2,10.5,,,,,,,,,,,,,,0.01,0.097,0.005,,0.005,25,0,0.07,0.0002,,,,83,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,43.57989444,101.6129361,Long Creek I,1997,,L,,,,,9/15/97,1:10pm,"8""/23'",0.7,23,15.33333333,34.5,23.48,8.95,328,2.79,0.7,67.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,43.57989444,101.6129361,Long Creek I,1998,,H,,,,,,,,,,,,,,,,,,,,,,,240,26,0.18,16,1.1,1.1,0.17,0.22,0,0,0,0,0,0.58,0,0.14,0,0,,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,43.57989444,101.6129361,Long Creek I,1999,,H,,,,,8/16/99,2:00pm,"11""/5'4""",0.9,5.4,4.95,5.890909091,14.58,7.52,615,7.69,1.84,13.4,,,,,,220,32,0.3,35,0,2.23,0.21,0.21,0.011,0.07,0,0,0,0.63,0.004,0.05,0,0,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,43.57989444,101.6129361,Long Creek I,2000,,L,,,,,,,,,,,,,,,,,,,,,,,216,26,0.2,31,2.63,0,0.06,0.07,0.009,0,0,0.02,0,0.37,0,0.04,0,0.02,0,0,100,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,43.60152778,101.966675,Lost Dog Creek I,1993,,H,,,,,6/23/93,,".3""/---",0.0,,,,16.8,,600,9.96,0.58,,,,,,,368,6,0.44,19,0,0,0.426,0.427,0.008,0.079,0,0.016,0,0.55,0,0.03,0,0,0.002,0,116,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,43.60152778,101.966675,Lost Dog Creek I,1993,,L,,,,,12/10/93,10:10am,6'/8',0.5,8,4,16,0.5,7.32,332,10.72,0.72,6.95,,,,,,289,6,0.36,20,0,0,0.046,0.07,0,0.08,0,0.012,0,0.62,0,0.03,0,0,0,0.002,83,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,43.60152778,101.966675,Lost Dog Creek I,1995,,H,,,,,6/7/95,1:16pm,2'/---,0.0,,,,14.2,8.26,73,11.3,,0.1,,,,,,340,17,0.32,23,0.1,0,0.175,0.284,0.014,0.15,0,,0,0.5,0,0.11,0.0003,,,,104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,43.60152778,101.966675,Lost Dog Creek I,1995,,L,,,,,10/16/95,12:44pm,5'/3',0.4,3,1.25,7.2,11.71,7.79,724,5.74,0.9,6.7,,,,,,330,8,0.33,16,0,0,0.13,0.136,0.007,0.011,0,,0,0.08,0,0,0.0007,,,,90,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,43.60152778,101.966675,Lost Dog Creek I,1996,,H,,,,,6/10/96,12:01pm,"7'12""/4'2""",0.0,,,,21.42,9.67,667,8.1,1.2,7.38,,,,,,300,5,0.4,21,0,0,0.2,0.24,0.011,0.093,0,,0.007,0.48,0,0.08,0.0002,,,,94,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,43.60152778,101.966675,Lost Dog Creek I,1997,,L,,,,,9/16/97,12:30pm,"18""/20""",1.5,,,,18.32,9.8,564,2.83,0.85,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,43.60152778,101.966675,Lost Dog Creek I,1998,,H,,,,,,,,,,,,,,,,,,,,,,,230,9.7,0.33,28,0,0,0.14,0.27,0.018,0,0,,0,2.4,0,0.13,0,0.005,,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,43.60152778,101.966675,Lost Dog Creek I,1999,,H,,,,,8/11/99,11:52am,"4'2""/3'8""",0.0,,,,21.11,7.94,600,8.26,4.18,5.2,,,,,,278,14,0.4,26,0,0.16,0.27,0.27,0.012,0.1,0,0,0.02,0.22,0,0.05,0,0,0,0,83,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,43.60152778,101.966675,Lost Dog Creek I,1999,,L,,,,,12/15/99,2:36pm,"7""/5'10""",0.6,5.9,3.441666667,10.11428571,2.56,7.33,570,1.8,3,8.4,,,,,,274,7,0.3,31,0,0.23,0.11,0.13,0.007,0.1,0,0.0009,0,0.68,0.003,0.1,0,0,0,0,86.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,43.60152778,101.966675,Lost Dog Creek I,2000,,H,,,,,,,,,,,,,,,,,,,,,,,216,9,0.2,25,0,0,0.13,0.16,0.011,0,0,0,0,0.57,0,0.06,0,0,0,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,43.60152778,101.966675,Lost Dog Creek I,2000,,L,,,,,,,,,,,,,,,,,,,,,,,282,10,0.3,24,0,0.35,0.1,0.1,0,0,0,0,0.02,0.19,0,0.09,0,0,0,0,78,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,43.3359,102.1206056,Medicine Root I,1993,,H,,,,,6/10/93,,"10""/----",0.8,,,,17.5,8.48,390,13,0.16,,,,,,,223,1,0.38,16,0,0,0.026,0.050,0,0.164,0,0.013,0,0.54,0,0.54,0,0,0,0,27,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,43.3359,102.1206056,Medicine Root I,1993,,L,,,,,12/2/93,1:00pm,"1'1""/6'10""",1.1,6.9,7.475,6.369230769,2.9,7.53,,12.45,0,2.59,,,,,,226,4,0.41,12,0,0,0.017,0.023,0,0.13,0,0.015,0,0.16,0,0,0,0,0,0.0095,31,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,43.3359,102.1206056,Medicine Root I,1994,,H,,,,,6/15/94,1:10pm,"1'1""/6'",1.1,6,6.5,5.538461538,20.3,8.63,145,10.91,0.96,1.9,,,,,,228,12,0.39,20,0,0,0.01,0.027,0,0.15,0,,0,0.14,0.009,0,0,,,,20,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,43.3359,102.1206056,Medicine Root I,1994,,L,,,,,,,,,,,,,,,,,,,,,,,214,16,0.42,16,0,0,0.016,0.045,0,0.14,0.007,,0,0.2,0,0,0.0003,,,,32,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,43.3359,102.1206056,Medicine Root I,1995,,H,e,,,,5/12/95,,,,,,,,,,,,,,,,,,223,4,0.4,18,0,0,0,0.022,0,0.094,0,,0,0.18,0,0,0,,,,33,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,43.3359,102.1206056,Medicine Root I,1995,,L,,,,,,,,,,,,,,,,,,,,,,,231,8,0.3,20,0.15,0.021,0.033,0.058,0,0.13,0,,0,0.16,0,0,0,,,,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,43.3359,102.1206056,Medicine Root I,1996,,H,,,,,5/13/96,12:50pm,"1'3""/7'",1.3,7,8.75,5.6,15,7.38,467,8,3.6,2.98,,,,,,200,2,0.4,15,0.6,0,0.02,0.02,0.007,0.105,0,,0,0,0,0,0.0003,,,,24,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,43.3359,102.1206056,Medicine Root I,1996,,L,,,,,10/11/96,12:30pm,"35""/4'",2.9,4,11.66666667,1.371428571,14.34,9.9,450,14,1,3,,,,,,200,3,0.4,12,0.7,0,0.04,0.04,0,0.104,0,,0,0,0.003,0,0.0002,,,,26,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,43.3359,102.1206056,Medicine Root I,1997,,H,,,,,6/4/97,1:30pm,"1'1""/6'",1.1,6,6.5,5.538461538,18.72,8.33,490,8.13,0.3,,,,,,,233,1,0.4,19,0,0,0.01,0,0.007,0.1,0,0,0,0.05,0,0,0.0006,0,,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,43.3359,102.1206056,Medicine Root I,1997,,L,,,,,10/2/97,12:02pm,"1'3""/12'6""",1.3,12.5,15.625,10,13.41,8.86,484,4.63,0.18,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,43.3359,102.1206056,Medicine Root I,1999,,H,,,,,7/9/99,10:56am,"11""/7'2""",0.9,7.3,6.691666667,7.963636364,17.10,7.92,490,9.73,0.3,11.3,,,,,,238,2,0.5,18,0,0,0.75,0.85,0.009,0.17,0,0,0,0.64,0,0.03,0,0,0,0,28,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,43.3359,102.1206056,Medicine Root I,1999,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,43.3359,102.1206056,Medicine Root I,2000,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,43.3359,102.1206056,Medicine Root I,2000,,L,,,,,,,,,,,,,,,,,,,,,,,238,5,0.5,33,0.05,0,0.04,0.04,0.006,0,0,0,0,0.06,0,0.01,0,0,0,0,34,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,43.3359,102.1206056,Medicine Root I,2004,,H,,,,,,,,,,,,,,,,,,,,,,,220,2.7,0.52,14,0,0,0,0.02,0.007,0.13,0,0,0,0.14,0,0,0,0,0,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,Medicine Root II,1993,,H,,,,,6/10/93,,"2.4""/----",0.0,,,,16.1,7.37,499,1.39,0.26,,,,,,,269,8,0.38,40,0.12,0.018,0.138,0.262,0,0.207,0,0.019,0,2.32,0,0.1,0,0,0.002,0,78,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
